Neighborhood,Price,Bedrooms,Bathrooms,House Size
Sapporo,55000000,4,2,180
Otaru,32000000,3,1,120
Asahikawa,45000000,3,2,150
Hakodate,60000000,4,3,200
Obihiro,38000000,3,1,130
Kitami,42000000,3,2,140
Tomakomai,48000000,4,2,160
Furano,35000000,2,1,100
Niseko,70000000,5,3,220
Kushiro,40000000,3,1,130
Abashiri,32000000,2,1,90
Muroran,42000000,3,2,140
Iwamizawa,55000000,4,2,180
Shibetsu,30000000,2,1,80
Rumoi,38000000,3,1,120
Nemuro,46000000,3,2,150
Chitose,50000000,4,2,170
Kutchan,68000000,4,3,210
Yoichi,33000000,2,1,100
Aibetsu,40000000,3,2,140